downloaded,receipt,heading,detail
Mon Jul 15 16:39:58 2019,MSC1891500000,Card Was Delivered To Me By The Post Office,"On November 17, 2018, the Post Office delivered your new card for Receipt Number MSC1891500000, to the address that you gave us.  The tracking number assigned is 9205590153708642350905.  You can use your tracking number at www.USPS.com in the Quick Tools Tracking section.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address."
Mon Jul 15 16:39:59 2019,MSC1891500001,Card Was Mailed To Me,"On January 16, 2019, we mailed your new card for your Form I-485, Application to Register Permanent Residence or Adjust Status, Receipt Number MSC1891500001, to the address you gave us.  If you do not receive your card by January 31, 2019, please go to www.uscis.gov/e-request  to request that we send your new card to you.  If you move, go to www.uscis.gov/addresschange  to give us your new mailing address."
Mon Jul 15 16:39:59 2019,MSC1891500002,Case Was Approved,"On November 13, 2018, we approved your Form I-131, Application for Travel Document, Receipt Number MSC1891500002. We will mail your approval notice. Please follow the instructions in the notice. If you move, go to www.uscis.gov/addresschange to give us your new mailing address."
Mon Jul 15 16:40:00 2019,MSC1891500003,Card Was Delivered To Me By The Post Office,"On November 19, 2018, the Post Office delivered your new card for Receipt Number MSC1891500003, to the address that you gave us.  The tracking number assigned is 9205590153708419512611.  You can use your tracking number at www.USPS.com in the Quick Tools Tracking section.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address."
Mon Jul 15 16:40:01 2019,MSC1891500004,Card Was Delivered To Me By The Post Office,"On December 8, 2018, the Post Office delivered your new card for Receipt Number MSC1891500004, to the address that you gave us.  The tracking number assigned is 9205590153708420221748.  You can use your tracking number at www.USPS.com in the Quick Tools Tracking section.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address."
Mon Jul 15 16:40:01 2019,MSC1891500005,Case Was Rejected Because It Was Improperly Filed,"On August 3, 2018, we rejected your Form I-485, Application to Register Permanent Residence or Adjust Status, Receipt Number MSC1891500005, because it was not filed correctly.  We mailed your case back to you, including any supporting materials and fee.  Please follow the instructions to resubmit your case.  If you do not receive your rejected case by September 2, 2018, contact the USCIS Contact Center at www.uscis.gov/contactcenter.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address. "
Mon Jul 15 16:40:02 2019,MSC1891500006,Case Was Rejected Because I Did Not Sign My Form,"On August 3, 2018, we rejected your Form I-130, Petition for Alien Relative, Receipt Number MSC1891500006, because you did not sign your form.  We mailed your case back to you, including any supporting materials.  Please follow the instructions to resubmit your case.  If you do not receive your rejected case by September 2, 2018, contact the USCIS Contact Center at www.uscis.gov/contactcenter.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address. "
Mon Jul 15 16:40:02 2019,MSC1891500007,Case Was Rejected Because It Was Improperly Filed,"On August 3, 2018, we rejected your Form I-765, Application for Employment Authorization, Receipt Number MSC1891500007, because it was not filed correctly.  We mailed your case back to you, including any supporting materials and fee.  Please follow the instructions to resubmit your case.  If you do not receive your rejected case by September 2, 2018, contact the USCIS Contact Center at www.uscis.gov/contactcenter.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address. "
Mon Jul 15 16:40:03 2019,MSC1891500008,Card Was Delivered To Me By The Post Office,"On January 15, 2019, the Post Office delivered your new card for Receipt Number MSC1891500008, to the address that you gave us.  The tracking number assigned is 9205590153708421694381.  You can use your tracking number at www.USPS.com in the Quick Tools Tracking section.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address."
Mon Jul 15 16:40:03 2019,MSC1891500009,Case Was Approved,"On November 6, 2018, we approved your Form I-131, Application for Travel Document, Receipt Number MSC1891500009. We will mail your approval notice. Please follow the instructions in the notice. If you move, go to www.uscis.gov/addresschange to give us your new mailing address."
Mon Jul 15 16:40:04 2019,MSC1891500010,Card Was Delivered To Me By The Post Office,"On November 9, 2018, the Post Office delivered your new card for Receipt Number MSC1891500010, to the address that you gave us.  The tracking number assigned is 9205590153708642210865.  You can use your tracking number at www.USPS.com in the Quick Tools Tracking section.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address."
Mon Jul 15 16:40:04 2019,MSC1891500011,Card Was Delivered To Me By The Post Office,"On February 7, 2019, the Post Office delivered your new card for Receipt Number MSC1891500011, to the address that you gave us.  The tracking number assigned is 9205590153708646202309.  You can use your tracking number at www.USPS.com in the Quick Tools Tracking section.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address."
Mon Jul 15 16:40:05 2019,MSC1891500012,Card Was Delivered To Me By The Post Office,"On November 9, 2018, the Post Office delivered your new card for Receipt Number MSC1891500012, to the address that you gave us.  The tracking number assigned is 9205590153708642211039.  You can use your tracking number at www.USPS.com in the Quick Tools Tracking section.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address."
Mon Jul 15 16:40:05 2019,MSC1891500013,Case Was Approved,"On November 6, 2018, we approved your Form I-131, Application for Travel Document, Receipt Number MSC1891500013. We will mail your approval notice. Please follow the instructions in the notice. If you move, go to www.uscis.gov/addresschange to give us your new mailing address."
Mon Jul 15 16:40:06 2019,MSC1891500014,Correspondence Was Received And USCIS Is Reviewing It,"On April 2, 2019, we received your correspondence for Form I-485, Application to Register Permanent Residence or Adjust Status, Receipt Number MSC1891500014. We are reviewing your correspondence, and will mail you a notice if we need something from you. If you move, go to www.uscis.gov/addresschange to give us your new mailing address."
Mon Jul 15 16:40:06 2019,MSC1891500015,Correspondence Was Received And USCIS Is Reviewing It,"On April 2, 2019, we received your correspondence for Form I-485, Application to Register Permanent Residence or Adjust Status, Receipt Number MSC1891500015. We are reviewing your correspondence, and will mail you a notice if we need something from you. If you move, go to www.uscis.gov/addresschange to give us your new mailing address."
Mon Jul 15 16:40:07 2019,MSC1891500016,Correspondence Was Received And USCIS Is Reviewing It,"On April 2, 2019, we received your correspondence for Form I-485, Application to Register Permanent Residence or Adjust Status, Receipt Number MSC1891500016. We are reviewing your correspondence, and will mail you a notice if we need something from you. If you move, go to www.uscis.gov/addresschange to give us your new mailing address."
Mon Jul 15 16:40:07 2019,MSC1891500017,Correspondence Was Received And USCIS Is Reviewing It,"On April 2, 2019, we received your correspondence for Form I-485, Application to Register Permanent Residence or Adjust Status, Receipt Number MSC1891500017. We are reviewing your correspondence, and will mail you a notice if we need something from you. If you move, go to www.uscis.gov/addresschange to give us your new mailing address."
